-0.02	2.6865	0	0	-0.02	2.6865	-0.0024	2.85	-0.0314	0.9995
-0.192594	3.60157	-0.215716	1.1437	-0.1926	3.6016	-0.1334	3.637	-0.279	0.9603
-0.274496	4.3866	-0.0685046	0.932749	-0.2738	4.3856	-0.456	4.3668	-0.509	0.8607
-0.850588	5.14771	-1.04948	0.960806	-0.8574	5.1479	-0.95	4.9934	-0.7071	0.7071
-1.56559	5.32776	-0.807589	-0.182015	-1.5638	5.3193	-1.5843	5.4775	-0.8607	0.509
-2.15306	5.92636	-0.69295	1.27386	-2.1522	5.9373	-2.319	5.7886	-0.9603	0.279
-3.23067	5.67576	-1.71847	-1.21464	-3.2384	5.657	-3.108	5.9073	-0.9995	0.0314
-3.89649	5.77988	-0.328318	0.894896	-3.886	5.7958	-3.9018	5.8259	-0.9759	-0.2181
-4.73744	5.41155	-1.4624	-1.2314	-4.746	5.3955	-4.6504	5.5498	-0.891	-0.454
-5.52309	5.2913	-0.708791	0.464725	-5.5174	5.3041	-5.3068	5.0961	-0.7501	-0.6613
-5.87449	4.4672	-0.285909	-1.88057	-5.8713	4.4495	-5.8297	4.4935	-0.5621	-0.8271
-6.24865	3.98979	-0.571115	0.13363	-6.2508	4.005	-6.1864	3.7797	-0.3388	-0.9409
-6.41835	3.01304	-0.00789449	-1.99159	-6.4141	2.997	-6.3543	2.9997	-0.0941	-0.9956
-6.34803	2.18231	0.142395	-0.496126	-6.3469	2.1936	-6.323	2.2024	0.1564	-0.9877
-6.28731	1.3669	0.0380734	-1.3169	-6.2881	1.3607	-6.0944	1.4379	0.3971	-0.9178
-5.67048	0.592074	1.18804	-0.770329	-5.6618	0.5962	-5.6828	0.7543	0.6129	-0.7902
-5.00725	0.141743	0.624794	-0.444908	-5.0115	0.1442	-5.1142	0.1946	0.7901	-0.6129
-4.46355	-0.350876	0.710817	-0.712985	-4.4629	-0.3529	-4.4242	-0.2062	0.9177	-0.3972
-3.66155	-0.252205	1.16844	0.599148	-3.6581	-0.2423	-3.6563	-0.4228	0.9877	-0.1565
-2.91432	-0.539057	0.800682	-0.903435	-2.9171	-0.5504	-2.8586	-0.4416	0.9956	0.0941
-1.97148	-0.152621	1.39355	1.27185	-1.967	-0.1362	-2.0813	-0.2614	0.9409	0.3387
-1.36803	0.218076	0.390627	0.00340196	-1.3756	0.2085	-1.3732	0.1064	0.8271	0.5621
-0.667347	0.715673	1.15191	0.973934	-0.6616	0.723	-0.7789	0.6388	0.6613	0.7501
-0.391737	1.37222	-0.114841	0.733485	-0.4013	1.3704	-0.3356	1.3022	0.454	0.891
-0.138312	1.89386	0.562344	0.605738	-0.1332	1.8929	-0.0712	2.055	0.2182	0.9759
-0.081481	2.95546	-0.208479	1.73733	-0.0873	2.964	-0.0008	2.85	0	1
-0.0101256	3.66034	0.258549	0.39397	-0.0066	3.6502	0.1054	3.6408	0.2487	0.9686
0.488382	4.03453	0.830557	0.509697	0.4927	4.0354	0.405	4.3803	0.4818	0.8763
0.851757	4.86376	0.240109	1.33628	0.8473	4.87	0.879	5.0222	0.6846	0.7289
1.62884	5.47084	1.38738	0.430332	1.6375	5.464	1.4978	5.5259	0.8443	0.5358
2.29339	5.89196	0.513978	0.581061	2.2868	5.8931	2.2224	5.86	0.9511	0.309
3.07196	5.95337	1.23448	-0.210146	3.0774	5.9474	3.0073	6.0033	0.998	0.0628
3.8031	5.84472	0.731544	-0.0935283	3.7993	5.8456	3.8032	5.947	0.9823	-0.1874
4.40899	5.71294	0.772066	-0.205224	4.4093	5.7121	4.5601	5.6944	0.9048	-0.4258
5.05606	5.2178	0.829759	-0.854298	5.0565	5.2129	5.2305	5.2616	0.7705	-0.6374
5.86751	4.71838	1.11931	-0.493417	5.8697	4.7211	5.7721	4.6757	0.5878	-0.809
6.1889	3.64426	-0.00652075	-1.8258	6.1804	3.6342	6.151	3.9735	0.3681	-0.9298
6.35457	3.13157	0.328618	0.0332772	6.3571	3.1456	6.3433	3.1991	0.1253	-0.9921
6.30552	2.50665	-0.283159	-1.2445	6.3009	2.497	6.337	2.4012	-0.1253	-0.9921
6.12699	1.54628	-0.189027	-1.1754	6.1277	1.5468	6.1325	1.63	-0.3681	-0.9298
5.64598	0.88625	-0.835789	-0.625701	5.6411	0.8904	5.7427	0.9338	-0.5878	-0.809
5.18493	0.419992	-0.428699	-0.558428	5.188	0.4205	5.1919	0.3565	-0.7705	-0.6374
4.33126	0.0144895	-1.43028	-0.47755	4.3237	0.0151	4.5149	-0.0658	-0.9048	-0.4258
3.71351	-0.237624	-0.397791	-0.222742	3.7213	-0.2357	3.7541	-0.3064	-0.9823	-0.1874
3.12096	-0.0930781	-0.93576	0.410201	3.1169	-0.0883	2.9574	-0.3502	-0.998	0.0628
2.18389	-0.243909	-1.30537	-0.529178	2.1811	-0.251	2.1749	-0.1945	-0.9511	0.309
1.60481	0.262338	-0.393003	1.2939	1.6117	0.2761	1.4556	0.1509	-0.8443	0.5358
1.11175	0.678563	-0.743394	0.0801495	1.1091	0.6694	0.8448	0.6643	-0.6845	0.729
0.465365	1.52689	-0.844717	1.61811	0.4646	1.5385	0.3809	1.3135	-0.4818	0.8763
0.00451804	2.14196	-0.423211	0.285661	0.0077	2.1319	0.093	2.0576	-0.2487	0.9686
-0.0669543	2.86399	0.100608	1.25351	-0.063	2.8713	-0.0008	2.85	0	1
